step,loss,regression_loss,classification_loss,ranking_loss,examples,groups,coverage_mae,intensity_mae,coverage_rmse,intensity_rmse,top1_accuracy,mean_selection_regret,any_gain_accuracy,positive_fraction,plane_count_min,plane_count_max,plane_count_mean
1,0.9685616493225098,0.4506432116031647,0.6812567710876465,1.390417218208313,288,72,0.4449593126773834,0.44071412086486816,0.44626376032829285,0.44197943806648254,0.2361111111111111,0.03643516379654304,0.8159722222222222,0.8159722222222222,1,159,31.720132743362832
100,0.42156580090522766,0.020483070984482765,0.42101314663887024,1.18331778049469,288,72,0.017248699441552162,0.053769126534461975,0.03145699203014374,0.07657203823328018,0.6666666666666666,0.010986902818937475,0.84375,0.8159722222222222,1,159,31.720132743362832
200,0.33863329887390137,0.01880924217402935,0.4104895293712616,0.8688066601753235,288,72,0.016655554994940758,0.035989370197057724,0.031141219660639763,0.05742978677153587,0.6944444444444444,0.009856242783522854,0.8333333333333334,0.8159722222222222,1,159,31.720132743362832
300,0.3987756669521332,0.0146827707067132,0.21674849092960358,1.3196231126785278,288,72,0.016208574175834656,0.028262151405215263,0.030515272170305252,0.04105398431420326,0.7083333333333334,0.007972902013635676,0.8368055555555556,0.8159722222222222,1,159,31.720132743362832
400,0.2718571722507477,0.02012687735259533,0.27334633469581604,0.7335748672485352,288,72,0.01560970488935709,0.03842650353908539,0.02992602251470089,0.05584288015961647,0.7222222222222222,0.007693004215575961,0.8368055555555556,0.8159722222222222,1,159,31.720132743362832
500,0.17160381376743317,0.032788705080747604,0.24069981276988983,0.3145606219768524,288,72,0.015471875667572021,0.06524280458688736,0.026282327249646187,0.0910848006606102,0.7083333333333334,0.007843401609635394,0.8541666666666666,0.8159722222222222,1,159,31.720132743362832
600,0.365556925535202,0.017710236832499504,0.32820138335227966,1.0631853342056274,288,72,0.015235223807394505,0.030396945774555206,0.030155392363667488,0.046359624713659286,0.6666666666666666,0.008434809786396928,0.8611111111111112,0.8159722222222222,1,159,31.720132743362832
700,0.27336636185646057,0.008532148785889149,0.3278750479221344,0.731461763381958,288,72,0.014658603817224503,0.021436860784888268,0.028566177934408188,0.03265057131648064,0.6805555555555556,0.00798426267445191,0.8298611111111112,0.8159722222222222,1,159,31.720132743362832
800,0.1722119003534317,0.019939152523875237,0.2784740626811981,0.33061692118644714,288,72,0.01424160972237587,0.05773617699742317,0.026342567056417465,0.08644945174455643,0.6666666666666666,0.008113972703641694,0.84375,0.8159722222222222,1,159,31.720132743362832
900,0.3124794065952301,0.026848701760172844,0.38675156235694885,0.7557712197303772,288,72,0.019405238330364227,0.08224356174468994,0.02900628000497818,0.1090787798166275,0.6805555555555556,0.007544323455982117,0.8368055555555556,0.8159722222222222,1,159,31.720132743362832
1000,0.337878942489624,0.023629412055015564,0.5541521906852722,0.7028458714485168,288,72,0.014857788570225239,0.03528814762830734,0.0292680487036705,0.05314835160970688,0.6805555555555556,0.00813723305408429,0.8472222222222222,0.8159722222222222,1,159,31.720132743362832
1100,0.20329579710960388,0.0320298857986927,0.27025851607322693,0.4148050844669342,288,72,0.014516557566821575,0.04265899956226349,0.02720598876476288,0.06075816974043846,0.7222222222222222,0.007222864999979113,0.84375,0.8159722222222222,1,159,31.720132743362832
1200,0.2718571126461029,0.021636193618178368,0.17198097705841064,0.8289027214050293,288,72,0.015181220136582851,0.05598459765315056,0.026904074475169182,0.07621724158525467,0.6944444444444444,0.008257621630845178,0.8472222222222222,0.8159722222222222,1,159,31.720132743362832
1300,0.27897778153419495,0.029435932636260986,0.19006480276584625,0.8081026077270508,288,72,0.014650000259280205,0.05410834401845932,0.026334945112466812,0.07819061726331711,0.7222222222222222,0.007702998729655519,0.8402777777777778,0.8159722222222222,1,159,31.720132743362832
1400,0.3736845850944519,0.027575025334954262,0.33598101139068604,1.0484572649002075,288,72,0.01442489679902792,0.05829254910349846,0.026553239673376083,0.08145264536142349,0.7222222222222222,0.0061605502236893196,0.8402777777777778,0.8159722222222222,1,159,31.720132743362832
1500,0.2305004894733429,0.014666341245174408,0.22187431156635284,0.6414622664451599,288,72,0.014530356973409653,0.04283628985285759,0.028579071164131165,0.06110849604010582,0.7083333333333334,0.006751135395865681,0.8368055555555556,0.8159722222222222,1,159,31.720132743362832
