step,learning_rate,checkpoint_score,loss,regression_loss,classification_loss,ranking_loss,examples,groups,coverage_mae,intensity_mae,coverage_rmse,intensity_rmse,top1_accuracy,mean_selection_regret,any_gain_accuracy,positive_fraction,plane_count_min,plane_count_max,plane_count_mean
1,0.0007999999479104225,0.27757752251394174,1.0915861129760742,0.4706398546695709,0.6925640106201172,1.791221261024475,1152,192,0.4508814215660095,0.4976593554019928,0.45187127590179443,0.4985176920890808,0.4166666666666667,0.020221164135970564,0.8203125,0.8203125,1,320,54.92194025056216
200,0.0007979183202399448,0.039436203718651086,0.24669522047042847,0.030565360561013222,0.3003048598766327,0.5642145872116089,1152,192,0.014403094537556171,0.07277281582355499,0.024481382220983505,0.09816695749759674,0.6302083333333334,0.008821113064186648,0.8515625,0.8203125,1,320,54.92194025056216
400,0.0007916960882788475,0.028466004213745087,0.36636418104171753,0.026434406638145447,0.30452024936676025,1.0551989078521729,1152,192,0.01342964731156826,0.043494563549757004,0.025454524904489517,0.06363670527935028,0.6770833333333334,0.007117475749206885,0.8524305555555556,0.8203125,1,320,54.92194025056216
600,0.0007814014761921595,0.028968961506810352,0.43115654587745667,0.018030202016234398,0.28555721044540405,1.366948127746582,1152,192,0.012675815261900425,0.043481841683387756,0.023575661703944206,0.06541748344898224,0.6666666666666666,0.0074647736352441525,0.8567708333333334,0.8203125,1,320,54.92194025056216
800,0.0007671472739041893,0.025821996786059266,0.30705755949020386,0.017673315480351448,0.41991278529167175,0.7376241683959961,1152,192,0.013227777555584908,0.03760640323162079,0.025459501892328262,0.05790311098098755,0.6510416666666666,0.006556725794628922,0.859375,0.8203125,1,320,54.92194025056216
1000,0.0007490896534380888,0.02777261776403369,0.33153462409973145,0.016839558258652687,0.39931929111480713,0.8594610095024109,1152,192,0.01282411627471447,0.046395525336265564,0.02226034738123417,0.06776954233646393,0.6770833333333334,0.00648385368064434,0.8515625,0.8203125,1,320,54.92194025056216
1200,0.0007274264578624819,0.0323199093642567,0.3156265616416931,0.025509605184197426,0.21093077957630157,0.9495370388031006,1152,192,0.012296438217163086,0.05059751868247986,0.022534918040037155,0.07716754078865051,0.625,0.008298210069672981,0.8550347222222222,0.8203125,1,320,54.92194025056216
1400,0.0007023950336814113,0.02637682193017099,0.27982890605926514,0.015861932188272476,0.2196001410484314,0.8362677693367004,1152,192,0.012289009988307953,0.041333749890327454,0.023439912125468254,0.06484013050794601,0.6666666666666666,0.0064855659802560695,0.8663194444444444,0.8203125,1,320,54.92194025056216
1600,0.000674269630416368,0.029798689933765367,0.3798568844795227,0.015538801439106464,0.46213170886039734,0.9951406717300415,1152,192,0.01266209501773119,0.05201852321624756,0.023408548906445503,0.07505187392234802,0.6614583333333334,0.006814267687635341,0.8645833333333334,0.8203125,1,320,54.92194025056216
1800,0.0006433583958711417,0.024406610997781776,0.3935076594352722,0.01626536250114441,0.33173683285713196,1.1772323846817017,1152,192,0.012844458222389221,0.036056458950042725,0.024799922481179237,0.058260075747966766,0.6770833333333334,0.006090690852336896,0.859375,0.8203125,1,320,54.92194025056216
2000,0.0006100000000000014,0.031779317733404845,0.30908897519111633,0.030970847234129906,0.2305433750152588,0.8819291591644287,1152,192,0.012561499141156673,0.05663474276661873,0.023818327113986015,0.08255714923143387,0.640625,0.007240128628230498,0.8619791666666666,0.8203125,1,320,54.92194025056216
2200,0.0005745599243688052,0.032768358151467204,0.23686838150024414,0.0312094297260046,0.29394271969795227,0.5286930799484253,1152,192,0.011982823722064495,0.06276628375053406,0.021082552149891853,0.09305506199598312,0.6510416666666666,0.007040540641658784,0.8585069444444444,0.8203125,1,320,54.92194025056216
2400,0.0005374264578624821,0.029290334093578473,0.3194001019001007,0.02738807536661625,0.3273409903049469,0.8407071232795715,1152,192,0.012496544979512691,0.05112423002719879,0.021942635998129845,0.07773695141077042,0.6614583333333334,0.0066925701709503,0.8480902777777778,0.8203125,1,320,54.92194025056216
2600,0.0004990064425107542,0.027183336142722204,0.2806902527809143,0.023896150290966034,0.24656200408935547,0.7806143760681152,1152,192,0.012308595702052116,0.041754383593797684,0.0232168547809124,0.0634198859333992,0.65625,0.006833795659379878,0.8637152777777778,0.8203125,1,320,54.92194025056216
2800,0.00045972081604171564,0.025187761610141024,0.3088579475879669,0.013144983910024166,0.2806187570095062,0.9022331237792969,1152,192,0.012034735642373562,0.033957693725824356,0.022722508758306503,0.05551602318882942,0.65625,0.006844827134045772,0.8611111111111112,0.8203125,1,320,54.92194025056216
3000,0.00042000000000000647,0.026808663955307566,0.31413495540618896,0.0143858902156353,0.2882139980792999,0.9107823371887207,1152,192,0.012274561449885368,0.0381322018802166,0.023477455601096153,0.05831117182970047,0.6510416666666666,0.007103486561391037,0.8576388888888888,0.8203125,1,320,54.92194025056216
3200,0.000380279183958297,0.028394848074337155,0.4725888967514038,0.01995816081762314,0.3874153792858124,1.4231075048446655,1152,192,0.012023945339024067,0.048598047345876694,0.022632671520113945,0.07614902406930923,0.6614583333333334,0.006619674951555983,0.8637152777777778,0.8203125,1,320,54.92194025056216
3400,0.0003409935574892557,0.030422565706733927,0.2596551179885864,0.033053893595933914,0.31790533661842346,0.5884994864463806,1152,192,0.011935112997889519,0.05584724619984627,0.021123677492141724,0.08626612275838852,0.6614583333333334,0.006738487953649989,0.8619791666666666,0.8203125,1,320,54.92194025056216
3600,0.00030257354213752367,0.02988296495459508,0.2834544777870178,0.020799465477466583,0.27387282252311707,0.7767472267150879,1152,192,0.011986982077360153,0.05364549532532692,0.021850036457180977,0.07914111763238907,0.6614583333333334,0.006737422801961657,0.8645833333333334,0.8203125,1,320,54.92194025056216
3800,0.00026544007563120077,0.02500203766491419,0.3562192916870117,0.016468433663249016,0.37265515327453613,0.9863482713699341,1152,192,0.012299343943595886,0.03668781742453575,0.023419443517923355,0.061468835920095444,0.6770833333333334,0.006377623661440642,0.859375,0.8203125,1,320,54.92194025056216
4000,0.00023000000000000564,0.02796575152024161,0.45198020339012146,0.024688929319381714,0.20138539373874664,1.5077797174453735,1152,192,0.011903845705091953,0.04907665774226189,0.021509820595383644,0.0722513496875763,0.6666666666666666,0.006360312829201575,0.8619791666666666,0.8203125,1,320,54.92194025056216
4200,0.0001966416041288648,0.032671266143249035,0.3911180794239044,0.030786678194999695,0.28607168793678284,1.1552538871765137,1152,192,0.012322687543928623,0.06161583960056305,0.020610744133591652,0.09030143916606903,0.6510416666666666,0.007093317178563059,0.8645833333333334,0.8203125,1,320,54.92194025056216
4400,0.0001657303695836377,0.030841104012021482,0.4206051230430603,0.02737421542406082,0.26187315583229065,1.311050534248352,1152,192,0.012042905203998089,0.054188862442970276,0.02087942138314247,0.08166016638278961,0.6458333333333334,0.007141581050139696,0.8585069444444444,0.8203125,1,320,54.92194025056216
4600,0.00013760496631859425,0.033140603574186876,0.39412862062454224,0.028415245935320854,0.3875439167022705,1.0753096342086792,1152,192,0.011948402039706707,0.060060467571020126,0.021374180912971497,0.08557484298944473,0.6458333333333334,0.007569193085752583,0.8576388888888888,0.8203125,1,320,54.92194025056216
4800,0.00011257354213752428,0.02975093959927714,0.3778119385242462,0.02741539292037487,0.22093139588832855,1.180654764175415,1152,192,0.011929555796086788,0.0517999529838562,0.02156236208975315,0.07803643494844437,0.6510416666666666,0.006909281202145697,0.8654513888888888,0.8203125,1,320,54.92194025056216
5000,9.091034656191679e-05,0.029758286977691263,0.23903098702430725,0.0311695858836174,0.3425339460372925,0.4889116585254669,1152,192,0.011742795817553997,0.05461440980434418,0.020999087020754814,0.08142632991075516,0.65625,0.006584492786108361,0.8628472222222222,0.8203125,1,320,54.92194025056216
5200,7.285272609581394e-05,0.030214987777677983,0.3115995526313782,0.028383640572428703,0.17470639944076538,0.9581572413444519,1152,192,0.011656555347144604,0.05294650420546532,0.021116996183991432,0.08076124638319016,0.65625,0.007032111444762752,0.859375,0.8203125,1,320,54.92194025056216
5400,5.859852380784285e-05,0.028500397131817103,0.39901062846183777,0.03290723264217377,0.36804911494255066,1.0963644981384277,1152,192,0.011738995090126991,0.046917788684368134,0.021725662052631378,0.07230297476053238,0.65625,0.006918100594096662,0.8637152777777778,0.8203125,1,320,54.92194025056216
5600,4.830391172115441e-05,0.03096474296277544,0.26943302154541016,0.02498510479927063,0.2275291532278061,0.7502624988555908,1152,192,0.011752613820135593,0.05584946647286415,0.02054460532963276,0.08495581895112991,0.65625,0.007032111444762752,0.8654513888888888,0.8203125,1,320,54.92194025056216
5800,4.208167976005628e-05,0.030546923056438878,0.2324657291173935,0.025837866589426994,0.19749028980731964,0.629021167755127,1152,192,0.011744249612092972,0.05416066572070122,0.021045109257102013,0.08141294866800308,0.65625,0.0070353471116201645,0.8619791666666666,0.8203125,1,320,54.92194025056216
6000,4e-05,0.03139160919333032,0.24349677562713623,0.02126350812613964,0.2411237210035324,0.6478093862533569,1152,192,0.01168525218963623,0.05593807250261307,0.020971203222870827,0.08374647796154022,0.6510416666666666,0.0072428890101339976,0.8619791666666666,0.8203125,1,320,54.92194025056216
